Purpose Full,Subscription,Resource Group,Env Full,Env,Scope Full,Scope,Asset Type Full,Asset Type,Region Full,Region,Index,TagName,TagValue,Classification,,,,
,,,,,,,Analytics and IoT: Azure Data Explorer cluster,dec,,,,,,,,Analytics and IoT,Azure Data Explorer cluster,dec
,,,,,,,Analytics and IoT: Azure Data Factory,adf,,,,,,,,Analytics and IoT,Azure Data Factory,adf
,,,,,,,Analytics and IoT: Data Lake Store account,dls,,,,,,,,Analytics and IoT,Data Lake Store account,dls
,,,,,,,Analytics and IoT: Data Lake Analytics account,dla,,,,,,,,Analytics and IoT,Data Lake Analytics account,dla
,,,,,,,Analytics and IoT: Event Hub,evh,,,,,,,,Analytics and IoT,Event Hub,evh
,,,,,,,Analytics and IoT: Event Grid Topic,evgt,,,,,,,,Analytics and IoT,Event Grid Topic,evgt
,,,,,,,Analytics and IoT: Event Grid Topic Subscription,evgts,,,,,,,,Analytics and IoT,Event Grid Topic Subscription,evgts
,,,,,,,Analytics and IoT: HDInsight - Hadoop cluster,hadoop,,,,,,,,Analytics and IoT,HDInsight - Hadoop cluster,hadoop
,,,,,,,Analytics and IoT: HDInsight - HBase cluster,hbase,,,,,,,,Analytics and IoT,HDInsight - HBase cluster,hbase
,,,,,,,Analytics and IoT: HDInsight - Kafka cluster,kafka,,,,,,,,Analytics and IoT,HDInsight - Kafka cluster,kafka
,,,,,,,Analytics and IoT: HDInsight - Spark cluster,spark,,,,,,,,Analytics and IoT,HDInsight - Spark cluster,spark
,,,,,,,Analytics and IoT: HDInsight - Storm cluster,storm,,,,,,,,Analytics and IoT,HDInsight - Storm cluster,storm
,,,,,,,Analytics and IoT: HDInsight - ML Services cluster,mls,,,,,,,,Analytics and IoT,HDInsight - ML Services cluster,mls
,,,,,,,Analytics and IoT: IoT hub,iot,,,,,,,,Analytics and IoT,IoT hub,iot
,,,,,,,Analytics and IoT: Power BI Embedded,pbi,,,,,,,,Analytics and IoT,Power BI Embedded,pbi
,,,,,,,Analytics and IoT: Time Series Insights environment,tsi,,,,,,,,Analytics and IoT,Time Series Insights environment,tsi
,,,,,,,Developer tools: App Configuration store,appcs,,,,,,,,Developer tools,App Configuration store,appcs
,,,,,,,Integration: Integration account,ia,,,,,,,,Integration,Integration account,ia
,,,,,,,Integration: Logic apps,logic,,,,,,,,Integration,Logic apps,logic
,,,,,,,Integration: Service Bus,sb,,,,,,,,Integration,Service Bus,sb
,,,,,,,Integration: Service Bus queue,sbq,,,,,,,,Integration,Service Bus queue,sbq
,,,,,,,Integration: Service Bus topic,sbt,,,,,,,,Integration,Service Bus topic,sbt
,,,,,,,Management and governance: Automation account,aa,,,,,,,,Management and governance,Automation account,aa
,,,,,,,Management and governance: Azure Monitor action group,ag,,,,,,,,Management and governance,Azure Monitor action group,ag
,,,,,,,Management and governance: Azure Monitor action,a,,,,,,,,Management and governance,Azure Monitor action,a
,,,,,,,Management and governance: Blueprint,bp,,,,,,,,Management and governance,Blueprint,bp
,,,,,,,Management and governance: Blueprint assignment,bpa,,,,,,,,Management and governance,Blueprint assignment,bpa
,,,,,,,Management and governance: Budget,bdg,,,,,,,,Management and governance,Budget,bdg
,,,,,,,Management and governance: Key vault,kv,,,,,,,,Management and governance,Key vault,kv
,,,,,,,Management and governance: Log Analytics workspace,log,,,,,,,,Management and governance,Log Analytics workspace,log
,,,,,,,Management and governance: Application Insights,appi,,,,,,,,Management and governance,Application Insights,appi
,,,,,,,Management and governance: Recovery Services vault,rsv,,,,,,,,Management and governance,Recovery Services vault,rsv
,,,,,,,Migration: Azure Migrate project,migr,,,,,,,,Migration,Azure Migrate project,migr
,,,,,,,Migration: Database Migration Service instance,dms,,,,,,,,Migration,Database Migration Service instance,dms
,,,,,,,Migration: Recovery Services vault,rsv,,,,,,,,Migration,Recovery Services vault,rsv
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,STOP,,STOP,,,,STOP,STOP,STOP,STOP,STOP,STOP,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,STOP,,
